ordinal	decision_id	recorded_at	epistemic_type	source_change_declared	alternative_field_count	companion_count
145	ISV019-EDIT-0145	2026-08-17T01:20:24+02:00	exact_four_file_reverse_forward_replay_plus_219_witness_identity_body_audit_and_independent_postapply_review	false	1	2
146	ISV019-EDIT-0146	2026-08-17T04:51:02+02:00	complete_live_family_census_plus_official_dictionary_grammar_and_30_line_german_controls_plus_exact_reverse_forward_replay	false	3	2
147	ISV019-EDIT-0147	2026-08-17T06:40:37+02:00	complete_live_family_census_plus_official_dictionary_grammar_plus_64_line_german_controls_plus_five_target_reverse_forward_replay	false	13	2
148	ISV019-EDIT-0148	2026-08-17T15:58:29+02:00	exact_147_plus_11_wrapper_and_13_support_manifests_plus_EDIT0145_historical_oracle_plus_six_target_reverse_forward_replay	false	3	2
149	ISV019-EDIT-0149	2026-08-17T18:20:02+02:00	official_dictionary_ID3094_plus_noun_adjective_pronoun_grammar_plus_ED0015_semantic_controls_plus_exact_six_target_reverse_forward_replay	false	5	2
150	ISV019-EDIT-0150	2026-08-17T20:40:00+02:00	official_dictionary_and_grammar_controls_plus_ED0015_semantic_context_plus_exact_thirteen_line_reverse_forward_replay_plus_separate_Cyrillic_v2_scanner_authority_activation	false	3	2
151	ISV019-EDIT-0151	2026-08-17T23:30:00+02:00	official_dictionary_and_grammar_controls_plus_ED0015_context_plus_structural_parallels_plus_exact_eleven_lexical_and_one_identity_reverse_forward_replay	false	3	2
152	ISV019-EDIT-0152	2026-08-18T04:30:00+02:00	exact_complete_identity_wrappers_plus_reverse_forward_replay_plus_independent_live_postapply_guard_plus_exhaustive_role_subtraction	false	2	2
153	ISV019-EDIT-0153	2026-08-18T20:25:00+02:00	project_house_contextual_adjudication_plus_exact_reverse_forward_replay_plus_independent_scanner_and_live_postapply_guard	false	4	2
154	ISV019-EDIT-0154	2026-08-20T14:40:00+02:00	metadata_only_exact_manifest_adoption_plus_clean_room_replay_plus_fail_closed_remaining_inventory	false	0	2
155	ISV019-EDIT-0155	2026-08-20T17:15:00+02:00	metadata_only_append_only_lifecycle_repair	false	0	2
156	ISV019-EDIT-0156	2026-08-20T18:05:00+02:00	metadata_only_validator_address_and_workspace_instruction_repin	false	0	2
157	ISV019-EDIT-0157	2026-08-20T19:45:00+02:00	metadata_only_registered_handoff_head_identity_correction	false	0	2
158	ISV019-EDIT-0158	2026-08-20T19:16:00+02:00	bounded_project_house_name_policy_with_explicit_uncertainty	true	0	2
159	ISV019-EDIT-0159	2026-08-20T20:38:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
160	ISV019-EDIT-0160	2026-08-20T21:15:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
161	ISV019-EDIT-0161	2026-08-21T00:45:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
162	ISV019-EDIT-0162	2026-08-21T04:20:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
163	ISV019-EDIT-0163	2026-08-21T06:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
164	ISV019-EDIT-0164	2026-08-21T09:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
165	ISV019-EDIT-0165	2026-08-21T12:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
166	ISV019-EDIT-0166	2026-08-21T13:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
167	ISV019-EDIT-0167	2026-08-21T14:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
168	ISV019-EDIT-0168	2026-08-21T16:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
169	ISV019-EDIT-0169	2026-08-21T18:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
170	ISV019-EDIT-0170	2026-08-21T19:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
171	ISV019-EDIT-0171	2026-08-21T21:00:00+02:00	bounded_role_protection_without_translation_or_transliteration	true	0	2
